Date,BRK_Close,SP500_Close,DJIA_Close,Pe-ratio,Price-book,Cash_Equivalents_to_Assets_Ratio,SP500_PE,BRK_Close_3M,BRK_Close_6M,BRK_Close_9M,BRK_Close_12M,BRK_Close_18M,SP500_Return,SP500_Performance_Gap,SP500_Performance_Lag2_Gap,SP500_Performance_Lag4_Gap,SP500_Performance_Lag6_Gap,SP500_Performance_Lag8_Gap,SP500_Performance_Lag10_Gap,BRK_Close_lag1,Pct_Change_3M,Pct_Change_6M,Pct_Change_9M,Pct_Change_12M,Pct_Change_18M,BRK_Close_lag1_pct,BRK_Close_lag2_pct
2012-09-30,87.70684252287212,13418.498355263158,1443.4194721422698,17.69,0.5,0.1,16.14,88.86350059509277,102.93950004577637,113.32499961853027,114.40499954223633,122.86809539794922,0.025921039844064353,-0.044078960155935654,0.10037439146276578,-0.1449927055865337,0.06996990890042648,-0.07744111450285912,,81.25714365641277,1.318777462452851,17.367695706218004,29.208846606212585,30.440221368591487,40.08952079868543,7.9373930416890195,0.9941562945187407
2012-10-31,88.8028578985305,13380.645321800595,1437.816662016369,16.42,0.51,0.11,16.62,95.32190486363002,105.62227283824573,116.29727242209695,115.38999972136125,125.29190463111514,0.026851206630645885,-0.04314879336935412,0.06154150731094271,-0.1439006627690152,0.05589009075900836,-0.0706932898595502,,84.07714298793248,7.341032844402856,18.94017302791508,30.961182077025722,29.93951146618526,41.08994642298382,5.6206892178487875,5.095114765346798
2012-11-30,86.73904818580264,12896.435267857143,1394.5123872302827,16.42,0.51,0.11,16.12,98.93052633185135,111.40954520485617,115.2963638305664,115.55600013732911,127.18476104736328,0.013784257590274684,-0.05621574240972532,0.007662567674006582,-0.13165845299067852,0.0533834979484476,-0.003507505333792016,,84.9660876730214,14.055351541249905,28.442203984308385,32.92325226303093,33.222582624838154,46.629186862786845,2.086668412466157,5.568201511652913
2012-12-31,88.86350059509277,13144.17490234375,1422.2854919433594,15.0,0.53,0.11,16.44,102.93950004577637,113.32499961853027,114.40499954223633,115.97571418398903,127.24142746698288,0.04776999930157877,-0.022230000698421237,-0.031143235993737528,-0.0717877224571894,-0.014872396716276215,0.058551609346857714,,87.70684252287212,15.840023582709167,27.527048630344314,28.742395669875293,30.509954489001355,43.18750287225284,1.318777462452851,7.9373930416890195
2013-01-31,95.32190486363002,13615.322823660714,1480.395240420387,15.0,0.53,0.11,17.03,105.62227283824573,116.29727242209695,115.38999972136125,114.4480950491769,128.06045497547495,0.06252713190453285,-0.007472868095467156,-0.04903688784910115,-0.06691016780106435,-0.00984639945066651,0.08457743751758856,-0.0937787494036812,88.8028578985305,10.805877189877481,22.004771713778517,21.05297296192429,20.06484261189419,34.34525375744594,7.341032844402856,5.6206892178487875
2013-02-28,98.93052633185135,13967.329975328947,1512.3115812602796,15.0,0.53,0.11,17.32,111.40954520485617,115.2963638305664,115.55600013732911,112.86368400172184,133.33285631452287,0.06335737934341501,-0.0066426206565849966,-0.05090834058847599,0.06794336577103227,-0.14082712147077076,0.10773272639537962,-0.056696363284846674,86.73904818580264,12.613921441340917,16.542757938856695,16.805201005106824,14.083779988325611,34.774231228966435,14.055351541249905,2.086668412466157
2013-03-31,102.93950004577637,14418.25810546875,1550.8289855957032,15.0,0.53,0.11,17.32,113.32499961853027,114.40499954223633,115.97571418398903,122.86809539794922,138.47714160737536,0.07450608285192017,0.004506082851920168,-0.044078960155935654,0.10037439146276578,-0.1449927055865337,0.06996990890042648,-0.07744111450285912,88.86350059509277,10.088935314563944,11.138095183444003,12.663957113076668,19.35952218857753,34.52284258792367,15.840023582709167,1.318777462452851
2013-04-30,105.62227283824573,14675.909002130682,1570.702264959162,15.67,0.58,0.11,17.69,116.29727242209695,115.38999972136125,114.4480950491769,125.29190463111514,138.0973902163298,0.09680128642373931,0.0268012864237393,-0.04314879336935412,0.06154150731094271,-0.1439006627690152,0.05589009075900836,-0.0706932898595502,95.32190486363002,10.106769431291587,9.247790850017221,8.356023756890169,18.622617431261197,30.746467109089576,10.805877189877481,7.341032844402856
2013-05-31,111.40954520485617,15172.180486505682,1639.842723499645,15.67,0.58,0.11,18.25,115.2963638305664,115.55600013732911,112.86368400172184,127.18476104736328,145.33420924136513,0.1764631211169312,0.10646312111693118,-0.05621574240972532,0.007662567674006582,-0.13165845299067852,0.0533834979484476,-0.003507505333792016,98.93052633185135,3.4887662619601225,3.72181299622808,1.3052192199437145,14.159662723243477,30.450410666455387,12.613921441340917,14.055351541249905
2013-06-30,113.32499961853027,15035.7544921875,1618.7725158691405,15.67,0.58,0.11,18.25,114.40499954223633,115.97571418398903,122.86809539794922,127.24142746698288,150.08318120783025,0.14391010496265233,0.07391010496265232,-0.022230000698421237,-0.031143235993737528,-0.0717877224571894,-0.014872396716276215,0.058551609346857714,102.93950004577637,0.9530111867121147,2.3390377889975533,8.420997848261642,12.280104032911973,32.43607475229101,10.088935314563944,15.840023582709167
2013-07-31,116.29727242209695,15390.203169389204,1668.6754427823153,15.46,0.62,0.08,18.12,115.38999972136125,114.4480950491769,125.29190463111514,128.06045497547495,148.082999420166,0.1303590350897963,0.06035903508979629,-0.007472868095467156,-0.04903688784910115,-0.06691016780106435,-0.00984639945066651,0.08457743751758856,105.62227283824573,-0.7801323984992425,-1.5900436307814059,7.734172970430883,10.114753603750856,27.331446676327754,10.106769431291587,10.805877189877481
2013-08-31,115.2963638305664,15195.347700639204,1670.0936390269887,15.46,0.62,0.08,18.12,115.55600013732911,112.86368400172184,127.18476104736328,133.33285631452287,148.6394709536904,0.0879207212458899,0.017920721245889892,-0.0066426206565849966,-0.05090834058847599,0.06794336577103227,-0.14082712147077076,0.10773272639537962,111.40954520485617,0.2251903686609312,-2.1099362963601447,10.311164048735701,15.643591770562656,28.919478477329342,3.4887662619601225,12.613921441340917
2013-09-30,114.40499954223633,15269.840966796875,1687.1735046386718,14.72,0.63,0.09,17.88,115.97571418398903,122.86809539794922,127.24142746698288,138.47714160737536,144.97454487193716,0.05906281154761173,-0.01093718845238828,0.004506082851920168,-0.044078960155935654,0.10037439146276578,-0.1449927055865337,0.06996990890042648,113.32499961853027,1.3729423084983459,7.397487775513226,11.220163433511116,21.04116267773072,26.72046278748079,0.9530111867121147,10.088935314563944
2013-10-31,115.38999972136125,15289.291397758152,1720.0265317170517,14.72,0.63,0.09,17.86,114.4480950491769,125.29190463111514,128.06045497547495,138.0973902163298,142.52142842610678,0.04179518935000326,-0.028204810649996748,0.0268012864237393,-0.04314879336935412,0.06154150731094271,-0.1439006627690152,0.05589009075900836,116.29727242209695,-0.8162792914973744,8.58125048415338,10.980548821136814,19.678820131555057,23.512807669868554,-0.7801323984992425,10.106769431291587
2013-11-30,115.55600013732911,15870.827978515625,1783.5410034179688,14.72,0.63,0.09,17.86,112.86368400172184,127.18476104736328,133.33285631452287,145.33420924136513,145.10149917602538,0.04604792914448441,-0.023952070855515595,0.10646312111693118,-0.05621574240972532,0.007662567674006582,-0.13165845299067852,0.0533834979484476,115.2963638305664,-2.329879999660483,10.063312070523658,15.38375865906347,25.769504888233403,25.56812195263232,0.2251903686609312,3.4887662619601225
2013-12-31,115.97571418398903,16095.774739583334,1807.7752336774554,15.03,0.62,0.1,18.04,122.86809539794922,127.24142746698288,138.47714160737536,150.08318120783025,140.49409068714488,0.07049997045021028,0.0004999704502102742,0.07391010496265232,-0.022230000698421237,-0.031143235993737528,-0.0717877224571894,-0.014872396716276215,114.40499954223633,5.942952162403426,9.713855493160775,19.401844241018484,29.409145926647735,21.14095754931831,1.3729423084983459,0.9530111867121147
2014-01-31,114.4480950491769,16243.722330729166,1822.3566603887648,15.03,0.62,0.1,18.15,125.29190463111514,128.06045497547495,138.0973902163298,148.082999420166,141.1613637750799,0.055458602589314454,-0.014541397410685553,0.06035903508979629,-0.007472868095467156,-0.04903688784910115,-0.06691016780106435,-0.00984639945066651,115.38999972136125,9.474871187046666,11.893915683305165,20.663773527196856,29.388784808114643,23.340946578817807,-0.8162792914973744,-0.7801323984992425
2014-02-28,112.86368400172184,15958.443205180922,1817.0347386410363,15.03,0.62,0.1,18.06,127.18476104736328,133.33285631452287,145.33420924136513,148.6394709536904,139.06857263474237,0.05021902226756003,-0.019780977732439975,0.017920721245889892,-0.0066426206565849966,-0.05090834058847599,0.06794336577103227,-0.14082712147077076,115.55600013732911,12.688826501023096,18.13619012515023,28.76968400140822,31.698227174139348,23.21817585949148,-2.329879999660483,0.2251903686609312
2014-03-31,122.86809539794922,16308.627697172618,1863.5233386811756,15.98,0.64,0.1,18.48,127.24142746698288,138.47714160737536,150.08318120783025,144.97454487193716,130.5709511893136,0.06802865417095738,-0.0019713458290426256,-0.01093718845238828,0.004506082851920168,-0.044078960155935654,0.10037439146276578,-0.1449927055865337,115.97571418398903,3.5593715804490778,12.703905077124414,22.1498394043921,17.992017701901247,6.269207450816359,5.942952162403426,1.3729423084983459
2014-04-30,125.29190463111514,16399.502278645832,1864.2633347284227,15.98,0.64,0.1,18.35,128.06045497547495,138.0973902163298,148.082999420166,142.52142842610678,133.99499997225675,0.07261362557655682,0.0026136255765568106,-0.028204810649996748,0.0268012864237393,-0.04314879336935412,0.06154150731094271,-0.1439006627690152,114.4480950491769,2.2096801485387143,10.22052112857301,18.19039694236629,13.751506009681039,6.94625512060439,9.474871187046666,-0.8162792914973744
2014-05-31,127.18476104736328,16567.254789806546,1889.7671421595983,15.98,0.64,0.1,18.35,133.33285631452287,145.33420924136513,148.6394709536904,145.10149917602538,135.31750106811523,0.04388093754362887,-0.026119062456371134,-0.023952070855515595,0.10646312111693118,-0.05621574240972532,0.007662567674006582,-0.13165845299067852,112.86368400172184,4.833987355505629,14.270143722047832,16.868931253750937,14.087173637091599,6.394429610732486,12.688826501023096,-2.329879999660483
2014-06-30,127.24142746698288,16843.754743303572,1947.087611607143,14.77,0.63,0.11,18.88,138.47714160737536,150.08318120783025,144.97454487193716,140.49409068714488,133.397272976962,0.046470580995444655,-0.023529419004555352,0.0004999704502102742,0.07391010496265232,-0.022230000698421237,-0.031143235993737528,-0.0717877224571894,122.86809539794922,8.830232703344956,17.951506986020284,13.936591059979841,10.415368236575974,4.837925534572032,3.5593715804490778,5.942952162403426
2014-07-31,128.06045497547495,16988.264115767044,1973.0999866832387,14.77,0.63,0.11,18.96,138.0973902163298,148.082999420166,142.52142842610678,141.1613637750799,127.63158015200966,0.045835663149042194,-0.024164336850957813,-0.014541397410685553,0.06035903508979629,-0.007472868095467156,-0.04903688784910115,-0.06691016780106435,125.29190463111514,7.83765389774466,15.635228258813852,11.292302103253709,10.230253205108419,-0.3349002809239021,2.2096801485387143,9.474871187046666
2014-08-31,133.33285631452287,16775.154203869046,1961.5319068545386,14.77,0.63,0.11,18.96,145.33420924136513,148.6394709536904,145.10149917602538,139.06857263474237,129.08650016784668,0.051177360359497825,-0.01882263964050218,-0.019780977732439975,0.017920721245889892,-0.0066426206565849966,-0.05090834058847599,0.06794336577103227,127.18476104736328,9.001046897646823,11.480002050702558,8.826513724224965,4.301802630470424,-3.184778504001545,4.833987355505629,12.688826501023096
2014-09-30,138.47714160737536,17098.126767113095,1993.2261904761904,16.46,0.7,0.12,18.81,150.08318120783025,144.97454487193716,140.49409068714488,130.5709511893136,140.03727236661044,0.048409902083750955,-0.02159009791624905,-0.0019713458290426256,-0.01093718845238828,0.004506082851920168,-0.044078960155935654,0.10037439146276578,127.24142746698288,8.38119523968911,4.692040281264545,1.4565213120069875,-5.7093830261735175,1.1266341441813714,8.830232703344956,3.5593715804490778
2014-10-31,138.0973902163298,16701.870626698368,1937.2743503736413,16.46,0.7,0.12,18.5,148.082999420166,142.52142842610678,141.1613637750799,133.99499997225675,144.10095142182848,0.018437653955282407,-0.0515623460447176,0.0026136255765568106,-0.028204810649996748,0.0268012864237393,-0.04314879336935412,0.06154150731094271,128.06045497547495,7.230845701134333,3.203563950663154,2.21870489655914,-2.970650088062245,4.347338639849805,7.83765389774466,2.2096801485387143
2014-11-30,145.33420924136513,17648.97738486842,2044.5721050061677,16.46,0.7,0.12,18.5,148.6394709536904,145.10149917602538,139.06857263474237,135.31750106811523,142.96285720098587,0.06529280854227171,-0.004707191457728299,-0.026119062456371134,-0.023952070855515595,0.10646312111693118,-0.05621574240972532,0.007662567674006582,133.33285631452287,2.274248939446884,-0.16012063956206607,-4.311191865513955,-6.892188855973032,-1.631654414165504,9.001046897646823,4.833987355505629
2014-12-31,150.08318120783025,17754.240500710228,2054.2663629705257,18.63,0.76,0.12,20.08,144.97454487193716,140.49409068714488,130.5709511893136,133.397272976962,141.85999991677025,0.0540547978335193,-0.01594520216648071,-0.023529419004555352,0.0004999704502102742,0.07391010496265232,-0.022230000698421237,-0.031143235993737528,138.47714160737536,-3.4038699704924458,-6.389183946871914,-13.000943784298357,-11.117773555027565,-5.479082482715242,8.38119523968911,8.830232703344956
2015-01-31,148.082999420166,17542.2548828125,2028.1785095214843,18.63,0.76,0.12,20.08,142.52142842610678,141.1613637750799,133.99499997225675,127.63158015200966,144.52299957275392,0.03261020450766883,-0.03738979549233118,-0.024164336850957813,-0.014541397410685553,0.06035903508979629,-0.007472868095467156,-0.04903688784910115,138.0973902163298,-3.7557120100457984,-4.674159540385098,-9.513583262813587,-13.810781351158438,-2.4040570905179033,7.230845701134333,7.83765389774466
2015-02-28,148.6394709536904,17945.412006578947,2082.1957943564967,18.63,0.76,0.12,20.08,145.10149917602538,139.06857263474237,135.31750106811523,129.08650016784668,147.3230438232422,0.06976137378456948,-0.0002386262154305263,-0.01882263964050218,-0.019780977732439975,0.017920721245889892,-0.0066426206565849966,-0.05090834058847599,145.33420924136513,-2.380237062850745,-6.439001873149765,-8.9626058274425,-13.154628888537667,-0.8856511140693887,2.274248939446884,9.001046897646823
